fastqs,sample,library_type
/data/Sen_Lab_NEI/TotalSeq/Results/cellranger/NS7R65BBTS/,HYW7LDRXX_19041023,Antibody Capture
/data/Sen_Lab_NEI/TotalSeq/Results/cellranger/NS7R65BBTS/,HYW7LDRXX_19041017,Gene Expression
/data/Sen_Lab_NEI/TotalSeq/Results/cellranger/NS7R65BBTS/,HYW7LDRXX_19041019,Gene Expression
/data/Sen_Lab_NEI/TotalSeq/Results/cellranger/NS7R65BBTS/,HYW7LDRXX_19041015,Gene Expression
/data/Sen_Lab_NEI/TotalSeq/Results/cellranger/NS7R65BBTS/,HYW7LDRXX_19041021,Gene Expression
